sse,iteration
200529.0531074842,725
200525.49747309284,726
200521.94196904838,727
200518.38659534598,728
200514.83135198057,729
200511.2762389477,730
200507.72125624225,731
200504.1664038592,732
200500.61168179417,733
200497.05709004198,734
200493.5026285979,735
200489.948297457,736
200486.3940966145,737
200482.84002606553,738
200479.28608580522,739
200475.73227582866,740
200472.1785961312,741
200468.62504670786,742
200465.0716275539,743
200461.51833866426,744
200457.96518003423,745
200454.4121516589,746
200450.85925353362,747
200447.30648565327,748
200443.75384801326,749
200440.2013406085,750
200436.6489634343,751
200433.0967164858,752
200429.5445997582,753
200425.9926132465,754
200422.44075694593,755
200418.88903085166,756
200415.33743495896,757
200411.78596926265,758
200408.23463375826,759
200404.6834284408,760
200401.13235330532,761
200397.58140834712,762
200394.03059356133,763
200390.47990894312,764
200386.9293544875,765
200383.3789301898,766
200379.8286360451,767
200376.27847204858,768
200372.72843819548,769
200369.17853448077,770
200365.62876089977,771
200362.07911744755,772
200358.52960411934,773
200354.98022091016,774
200351.4309678154,775
200347.88184482988,776
200344.33285194915,777
200340.78398916803,778
200337.23525648194,779
200333.68665388593,780
200330.1381813751,781
200326.58983894472,782
200323.0416265899,783
200319.49354430576,784
200315.94559208752,785
200312.3977699303,786
200308.85007782927,787
200305.30251577974,788
200301.7550837766,789
200298.20778181514,790
200294.66060989065,791
200291.11356799805,792
200287.5666561327,793
200284.01987428966,794
200280.4732224641,795
200276.92670065118,796
200273.38030884607,797
200269.834047044,798
200266.2879152401,799
200262.74191342946,800
200259.19604160733,801
200255.65029976872,802
200252.10468790904,803
200248.55920602335,804
200245.01385410668,805
200241.46863215434,806
200237.92354016152,807
200234.37857812332,808
200230.83374603483,809
200227.28904389136,810
200223.7444716879,811
200220.2000294199,812
200216.65571708226,813
200213.1115346702,814
200209.56748217897,815
200206.02355960367,816
200202.4797669395,817
200198.93610418157,818
200195.39257132512,819
200191.84916836533,820
200188.30589529732,821
200184.76275211622,822
200181.21973881725,823
200177.67685539552,824
200174.1341018463,825
200170.5914781646,826
200167.0489843458,827
200163.50662038493,828
200159.9643862772,829
200156.42228201762,830
200152.8803076017,831
200149.33846302435,832
200145.79674828076,833
200142.2551633662,834
200138.7137082757,835
200135.17238300457,836
200131.6311875479,837
200128.09012190084,838
200124.54918605863,839
200121.00838001643,840
200117.4677037694,841
200113.92715731275,842
200110.38674064152,843
200106.846453751,844
200103.30629663623,845
200099.76626929265,846
200096.22637171508,847
200092.686603899,848
200089.1469658394,849
200085.60745753156,850
200082.06807897054,851
200078.52883015157,852
200074.98971106988,853
200071.45072172044,854
200067.9118620987,855
200064.3731321997,856
200060.83453201855,857
200057.29606155053,858
200053.7577207908,859
200050.21950973448,860
200046.68142837673,861
200043.14347671284,862
200039.60565473788,863
200036.06796244706,864
200032.53039983552,865
200028.99296689854,866
200025.45566363118,867
200021.9184900286,868
200018.38144608604,869
200014.8445317988,870
200011.30774716186,871
200007.77109217044,872
200004.23456681968,873
200000.69817110486,874
199997.16190502123,875
199993.62576856365,876
199990.08976172764,877
199986.55388450806,878
199983.01813690044,879
199979.48251889972,880
199975.9470305011,881
199972.41167169984,882
199968.87644249105,883
199965.3413428699,884
199961.8063728317,885
199958.2715323714,886
199954.73682148437,887
199951.20224016573,888
199947.66778841062,889
199944.1334662143,890
199940.5992735719,891
199937.0652104785,892
199933.53127692945,893
199929.99747291993,894
199926.463798445,895
199922.93025349994,896
199919.3968380798,897
199915.8635521799,898
199912.33039579538,899
199908.79736892134,900
199905.26447155306,901
199901.73170368574,902
199898.1990653145,903
199894.6665564345,904
199891.13417704095,905
199887.60192712903,906
199884.06980669397,907
199880.5378157309,908
199877.00595423498,909
199873.4742222015,910
199869.94261962562,911
199866.4111465023,912
199862.87980282705,913
199859.34858859485,914
199855.8175038009,915
199852.28654844055,916
199848.75572250868,917
199845.22502600081,918
199841.69445891195,919
199838.16402123723,920
199834.63371297193,921
199831.1035341111,922
199827.5734846503,923
199824.04356458428,924
199820.51377390843,925
199816.98411261782,926
199813.45458070785,927
199809.9251781735,928
199806.39590501002,929
199802.8667612127,930
199799.33774677652,931
199795.8088616968,932
199792.28010596876,933
199788.75147958755,934
199785.22298254835,935
199781.69461484638,936
199778.16637647667,937
199774.6382674345,938
199771.11028771522,939
199767.58243731383,940
199764.0547162256,941
199760.52712444562,942
199756.9996619693,943
199753.4723287915,944
199749.94512490762,945
199746.41805031293,946
199742.89110500243,947
199739.36428897144,948
199735.8376022151,949
199732.31104472853,950
199728.78461650704,951
199725.25831754578,952
199721.73214783988,953
199718.20610738467,954
199714.68019617515,955
199711.15441420663,956
199707.62876147442,957
199704.10323797344,958
199700.57784369893,959
199697.05257864637,960
199693.5274428107,961
199690.00243618706,962
199686.4775587708,963
199682.95281055715,964
199679.42819154117,965
199675.90370171814,966
199672.37934108314,967
199668.8551096315,968
199665.33100735827,969
199661.80703425873,970
199658.28319032816,971
199654.75947556156,972
199651.23588995423,973
199647.71243350138,974
199644.1891061981,975
199640.66590803984,976
199637.14283902152,977
199633.61989913852,978
199630.09708838578,979
199626.5744067588,980
199623.05185425264,981
199619.52943086252,982
199616.00713658356,983
199612.48497141097,984
199608.96293534,985
199605.44102836598,986
199601.91925048383,987
199598.39760168898,988
199594.87608197643,989
199591.35469134152,990
199587.83342977933,991
199584.31229728524,992
199580.7912938543,993
199577.27041948173,994
199573.74967416274,995
199570.22905789257,996
199566.7085706663,997
199563.1882124793,998
199559.66798332668,999
199556.1478832036,1000
199552.62791210526,1001
199549.108070027,1002
199545.5883569638,1003
199542.06877291115,1004
199538.5493178639,1005
199535.0299918175,1006
199531.51079476703,1007
199527.99172670778,1008
199524.47278763496,1009
199520.9539775436,1010
199517.4352964291,1011
199513.91674428657,1012
199510.39832111125,1013
199506.88002689823,1014
199503.3618616428,1015
199499.8438253402,1016
199496.32591798567,1017
199492.80813957425,1018
199489.29049010127,1019
199485.7729695619,1020
199482.2555779512,1021
199478.73831526467,1022
199475.22118149724,1023
199471.7041766443,1024
199468.1873007009,1025
199464.67055366235,1026
199461.15393552388,1027
199457.63744628045,1028
199454.12108592765,1029
199450.60485446043,1030
199447.08875187402,1031
199443.5727781637,1032
199440.05693332455,1033
199436.54121735197,1034
199433.02563024103,1035
199429.51017198688,1036
199425.99484258486,1037
199422.47964203008,1038
199418.96457031785,1039
199415.44962744322,1040
199411.93481340163,1041
199408.42012818792,1042
199404.90557179775,1043
199401.39114422596,1044
199397.87684546795,1045
199394.3626755189,1046
199390.84863437392,1047
199387.33472202835,1048
199383.8209384773,1049
199380.30728371604,1050
199376.7937577397,1051
199373.28036054363,1052
199369.7670921228,1053
199366.2539524727,1054
199362.74094158836,1055
199359.22805946507,1056
199355.715306098,1057
199352.20268148227,1058
199348.6901856133,1059
199345.17781848615,1060
199341.66558009599,1061
199338.15347043815,1062
199334.64148950786,1063
199331.12963730015,1064
199327.61791381054,1065
199324.10631903383,1066
199320.5948529656,1067
199317.08351560088,1068
199313.57230693486,1069
199310.06122696277,1070
199306.55027567988,1071
199303.03945308144,1072
199299.52875916255,1073
199296.01819391854,1074
199292.50775734452,1075
199288.99744943576,1076
199285.4872701874,1077
199281.97721959473,1078
199278.46729765288,1079
199274.9575043572,1080
199271.4478397028,1081
199267.9383036849,1082
199264.4288962988,1083
199260.91961753956,1084
199257.4104674024,1085
199253.90144588274,1086
199250.39255297568,1087
199246.88378867638,1088
199243.37515298004,1089
199239.86664588202,1090
199236.35826737748,1091
199232.85001746152,1092
199229.34189612948,1093
199225.83390337654,1094
199222.32603919783,1095
199218.81830358878,1096
199215.31069654436,1097
199211.80321806,1098
199208.29586813075,1099
199204.78864675196,1100
199201.28155391873,1101
199197.7745896264,1102
199194.26775387002,1103
199190.76104664494,1104
199187.2544679463,1105
199183.74801776937,1106
199180.24169610953,1107
199176.7355029616,1108
199173.22943832114,1109
199169.7235021833,1110
199166.2176945432,1111
199162.71201539604,1112
199159.20646473713,1113
199155.7010425618,1114
199152.19574886496,1115
199148.69058364216,1116
199145.1855468884,1117
199141.68063859898,1118
199138.17585876922,1119
199134.6712073942,1120
199131.1666844691,1121
199127.66228998918,1122
199124.1580239498,1123
199120.65388634597,1124
199117.14987717307,1125
199113.6459964263,1126
199110.1422441008,1127
199106.6386201918,1128
199103.13512469473,1129
199099.63175760445,1130
199096.12851891655,1131
199092.625408626,1132
199089.12242672817,1133
199085.61957321817,1134
199082.11684809125,1135
199078.61425134266,1136
199075.11178296758,1137
199071.60944296137,1138
199068.10723131915,1139
199064.60514803615,1140
199061.10319310758,1141
199057.60136652872,1142
199054.09966829466,1143
199050.59809840075,1144
199047.09665684222,1145
199043.59534361423,1146
199040.09415871202,1147
199036.59310213084,1148
199033.092173866,1149
199029.5913739125,1150
199026.0907022657,1151
199022.59015892088,1152
199019.08974387322,1153
199015.58945711792,1154
199012.08929865021,1155
199008.58926846535,1156
199005.0893665586,1157
199001.58959292504,1158
198998.08994756002,1159
198994.59043045877,1160
198991.09104161648,1161
198987.5917810283,1162
198984.0926486897,1163
198980.5936445957,1164
198977.09476874158,1165
198973.59602112253,1166
198970.0974017338,1167
198966.59891057078,1168
198963.1005476284,1169
198959.60231290216,1170
198956.1042063871,1171
198952.60622807854,1172
198949.1083779717,1173
198945.6106560618,1174
198942.11306234408,1175
198938.61559681385,1176
198935.11825946608,1177
198931.62105029638,1178
198928.1239692996,1179
198924.62701647126,1180
198921.1301918064,1181
198917.63349530043,1182
198914.13692694844,1183
198910.64048674583,1184
198907.1441746875,1185
198903.647990769,1186
198900.1519349854,1187
198896.65600733212,1188
198893.16020780412,1189
198889.66453639683,1190
198886.16899310544,1191
198882.67357792513,1192
198879.17829085124,1193
198875.6831318789,1194
198872.1881010033,1195
198868.69319821987,1196
198865.19842352363,1197
198861.70377690994,1198
198858.20925837412,1199
198854.7148679112,1200
198851.22060551652,1201
198847.72647118528,1202
198844.23246491275,1203
198840.73858669415,1204
198837.24483652474,1205
198833.75121439982,1206
198830.25772031443,1207
198826.76435426396,1208
198823.27111624347,1209
198819.77800624853,1210
198816.28502427397,1211
198812.79217031546,1212
198809.29944436788,1213
198805.80684642665,1214
198802.31437648693,1215
198798.82203454396,1216
198795.32982059312,1217
198791.83773462946,1218
198788.3457766482,1219
198784.85394664475,1220
198781.3622446142,1221
198777.87067055187,1222
198774.37922445295,1223
198770.88790631286,1224
198767.3967161266,1225
198763.9056538895,1226
198760.4147195967,1227
198756.92391324366,1228
198753.43323482556,1229
198749.94268433747,1230
198746.45226177474,1231
198742.9619671327,1232
198739.47180040638,1233
198735.98176159116,1234
198732.4918506823,1235
198729.00206767503,1236
198725.51241256448,1237
198722.02288534594,1238
198718.53348601493,1239
198715.0442145663,1240
198711.55507099535,1241
198708.06605529756,1242
198704.5771674679,1243
198701.0884075018,1244
198697.59977539448,1245
198694.1112711411,1246
198690.62289473694,1247
198687.1346461773,1248
198683.64652545724,1249
198680.15853257227,1250
198676.67066751746,1251
198673.18293028805,1252
198669.69532087946,1253
198666.2078392867,1254
198662.72048550515,1255
198659.23325952998,1256
198655.74616135657,1257
198652.25919098005,1258
198648.77234839567,1259
198645.28563359863,1260
198641.79904658423,1261
198638.31258734775,1262
198634.8262558845,1263
198631.3400521895,1264
198627.85397625825,1265
198624.3680280859,1266
198620.88220766763,1267
198617.39651499875,1268
198613.91095007438,1269
198610.42551288998,1270
198606.94020344067,1271
198603.45502172172,1272
198599.96996772836,1273
198596.4850414558,1274
198593.00024289946,1275
198589.5155720544,1276
198586.03102891598,1277
198582.54661347944,1278
198579.06232573994,1279
198575.57816569286,1280
198572.09413333336,1281
198568.61022865662,1282
198565.12645165808,1283
198561.64280233282,1284
198558.1592806762,1285
198554.67588668337,1286
198551.1926203497,1287
198547.70948167035,1288
198544.22647064054,1289
198540.74358725577,1290
198537.2608315109,1291
198533.77820340142,1292
198530.29570292262,1293
198526.8133300696,1294
198523.33108483764,1295
198519.8489672221,1296
198516.3669772182,1297
198512.8851148211,1298
198509.40338002617,1299
198505.92177282856,1300
198502.44029322357,1301
198498.9589412064,1302
198495.47771677247,1303
